Word,Ocurrence
secondly,1
child,4
beachhead,1
four,1
protest,1
saved,3
offenses,1
poorest,2
pride,1
placed,1
railways,1
every,10
reforms,2
bringing,1
vast,1
school,5
companies,7
solution,2
charter,1
expanded,1
force,3
excelled,1
direct,2
even,6
hate,1
liberty,1
above,1
new,19
ever,1
told,2
hero,2
whose,1
never,5
here,3
hundreds,1
met,1
60000,1
china,1
path,2
100,1
celebration,2
digits,1
daughter,2
credit,1
military,5
adopting,1
fantastic,1
replace,1
criminals,1
spoke,2
would,4
telegraph,1
slaughtered,1
successful,1
wars,2
outdated,1
must,20
me,2
join,2
rights,3
work,10
mr,2
my,12
example,1
give,3
want,9
times,1
admission,1
recovery,1
provide,4
how,3
reconfirmed,1
badly,2
after,1
lay,1
president,3
law,4
meaningful,2
purchase,2
danny,1
attempt,1
third,2
sons,1
enter,2
reforming,1
operations,1
office,2
over,5
scalia,2
owens,2
before,1
better,5
irans,1
weeks,1
easier,1
overcome,1
then,6
them,8
enrich,1
unemployed,1
safe,5
break,3
they,23
schools,1
eisenhower,1
detroit,1
good,5
victories,1
daughters,1
each,1
addicted,1
went,1
side,1
lifted,1
financial,3
series,1
mandates,1
principles,1
navy,1
blinded,1
by,25
network,1
americans:,1
god,3
crucial,1
laid,1
got,1
independence,1
arizona,1
lawless,2
given,2
free,6
wanted,1
250th,4
loud,1
carryn,1
appeals,1
grade,1
hearing,1
another,3
engagement,2
approximately,1
ballistic,1
too,6
livelihoods,1
john,1
unbroken,1
murder,2
serve,3
kept,1
showed,2
nations,8
project,1
boston,1
mind,1
mine,1
childcare,1
seen,3
forced,1
strength,1
forces,1
tunnels,1
germany,1
entry,1
swamp,1
principle,1
came,2
sanctuary,1
"""ryan""",1
colors,1
earth,1
judges,1
do,7
stop,3
integrity,1
rebirth,1
countries,4
twice,2
bad,1
ban,2
automatic,1
disaster,1
fair,4
discussions,1
best,1
said,3
away,1
stamps,1
cooperation,1
hopefully,1
warrior,1
we,99
men,5
nationwide,1
wear,1
news,1
debt,1
improve,1
protect,5
country,17
against,4
jessica:,1
asked,2
epidemic,1
gleaming,1
250,2
trust,1
speak,2
targeting,1
puts,1
three,2
been,7
much,5
basic,1
expected,1
deportations,1
life,6
families,5
drugs,4
republicans,3
doubts,1
east,2
kentucky,1
air,1
stopping,1
voice,2
is,58
defeated,1
cant,1
if,5
confirmed,1
things,2
make,6
rebellion,1
harmony,1
heeded,1
inventors,1
raid,1
governors,1
evil,1
faiths,1
opportunity,1
cycle,3
shortly,1
failing,1
savings,1
hearts,1
left,1
just,11
financially,1
yes,1
yet,1
had,4
countrys,1
spread,1
vetting,2
prison,1
save,4
threatens,1
advances,1
possible,1
judge,1
highly,1
massively,1
unnecessary,1
remind,1
steps,2
security,5
states:,1
right,5
old,3
people,14
proudly,1
election,2
enemies,1
foe,1
asking,6
core,1
bold,1
manufacturing,1
chapter,2
attacks,2
dollars,11
months,1
ensure,3
civil,2
bound,1
two,3
down,9
one-fourth,1
honored,1
reducing,1
rely,1
cleared,1
support,6
legislation,1
vision,2
gallery,3
fought,2
way,4
greatness,2
was,15
war,4
form,2
magnificent,1
becoming,1
differences,1
forever,1
ford,1
true,1
isis,1
braver,1
inside,2
feet,1
promises,3
proud,1
promised,2
ship,2
dying,1
no,4
when,10
role,1
shrink,1
eternity,1
update,1
muslims,1
exported,1
maureen,1
died,1
billion,1
together,4
premiums,1
time,10
serious,1
neighbors,2
chain,1
global,1
souls,2
everything,2
obamacare,5
environment,1
answered,1
finally,6
jobâ€‘crushing,1
circumstances,1
veterans,3
division,1
protective,1
advantage,1
none,1
choice,4
level,1
leave,4
solved,1
team,1
prevent,1
brave,3
cost,3
reaffirmed,1
stands,1
uniform,2
current,3
shared,1
supporting,1
inauguration,1
muslim,1
water,1
communism,1
alone,2
along,2
roaring,1
teaches,1
earthquake,1
change,1
sending,1
enroll,1
jamiels,1
battling,1
wherever,1
burdensome,1
crumbled,1
diagnosed,1
"""abandonment",1
jamiel,3
love,5
flexibility,1
market,1
wealth,1
working,3
brighter,1
positive,1
france,1
live,2
prey,1
memory,1
today,5
neglected,1
acceptable,1
effort,2
behalf,1
demolish,1
values,1
hope,3
following,1
making,1
heart,1
citizens,11
lobbying,1
council,1
occur,1
divided,1
means,1
1,2
vital,2
economy,1
fiat-chrysler,1
may,1
southern,1
islamic,1
produce,1
such,1
heroes,1
data,1
grow,3
man,2
"enemies""",1
outline,1
maybe,1
complaining,1
so,13
exchanges,2
displayed,2
years,7
stability,1
course,1
cold,1
still,1
police,1
thank,1
acknowledge,1
forms,1
creations,1
policy,3
decades,3
year?,1
thereby,1
nation,12
half,1
not,26
now,10
sophomore,1
possibilities,1
torch,2
challenges,1
richly,1
begun,1
year,9
happen,1
disasters,2
canada,2
living,1
ultimately,1
accomplish,1
increase,3
receiving,1
rebuilding,3
million,3
california,1
obligation,1
care,2
advance,1
milestones,1
collapsing,2
transition,1
turn,1
massive,1
think,1
first,7
saving,1
spoken,1
one,13
americans,14
impossible,1
message,2
fight,2
open,1
millions,6
city,1
little,1
trillion,4
anyone,2
imposing,2
2,1
tragic,1
lobbyists,1
white,1
friend,3
eliminates,1
released,1
freeze,1
than,8
wide,1
cartels,1
15,1
effective,1
require,2
optimism,1
future,8
were,6
poisoning,1
extinguish,1
outcome,1
depresses,1
illness,1
san,1
turned,1
voices,1
say,1
any,1
warriors,1
sciences,1
potential,1
take,4
destroy,1
switching,1
begin,2
sure,1
opposite,1
price,3
keeps,1
paid,1
america,27
lawn,1
later,1
drive,2
benefits:,1
senior,1
abraham,1
laws,4
detective,1
shot,2
disunity,1
aggressive,1
ground,1
slow,2
behind,2
crime,4
only,4
going,3
black,1
watching,1
interstate,1
directed,2
get,5
contracts,1
condemning,1
truly,3
cannot,3
nearly,3
celebrate,3
prime,2
mattis,1
where,7
husband,1
ignored,2
declared,1
raged,1
seat,1
college,2
wonder,1
federal,1
eluded,1
outside,1
rebuilds,1
across,10
affordable,1
infrastructure,6
jobs,9
jr,1
cities,3
come,4
many,11
quiet,2
duty,1
among,1
slain,1
65,1
learning,1
oliver,4
rebuild,1
mark,1
combined,1
peaceful,1
borders,3
engine,1
bernardino,1
formed,1
minister,1
former,1
those,11
countless,1
case,1
african-american,1
these,6
crowley,1
policies,1
mandating,1
ive,2
telephone,1
according,2
100th,1
middle,5
pressing,1
embrace,1
bevin,1
decisively,1
worry,1
develop,2
doctor,1
pay,2
reminded,1
same,6
vandalism,1
struggling,1
closest,1
director,1
persons,1
high-paying,1
drain,1
without,1
relief,1
coordinate,1
scholarship,1
guided,3
communities,2
violent,1
thinking,1
treatment,1
real,1
around,1
early,1
department,5
world,17
lady,1
bravery,1
intel,1
audience,2
single-year,1
pacific,1
government-approved,1
provided,1
legal,2
deficit,1
expressing,1
business,3
credits,1
leadership,1
regulations,2
nafta,1
violence,1
act,2
tariffs,1
or,6
unbounded,1
blessed,2
accounts,1
dreaming,1
operator,1
your,5
legacy,1
her,4
removing,1
there,3
philadelphia,1
fates,1
start,1
$800,1
promote,1
rebuilt,1
hire,1
job-killing,1
grasp,1
builders,1
beliefs,1
strongly,2
wants,1
am,13
sales,1
deep,1
general,2
watched,1
fill,2
again,2
deserve,2
graduate,1
field,1
5,3
you,12
congress,9
symbol,1
coverage,2
building,1
calls,2
invest,2
overseas,2
represent,2
all,29
forget,1
vile,1
month,2
founded,1
forged,1
welfare,1
religious,1
children,7
remarkable,1
spirit,3
program,4
health,6
sound,1
woman,2
sitting,1
very,7
focus,1
trillions,1
worst,1
mothers,2
developing,1
list,1
joined,2
large,2
highway,1
small,2
streets,1
past,6
rate,5
lived:,1
pass,1
further,3
investment,1
what,6
deeply,1
terrorism-related,1
anniversary,2
public,3
borders?,1
november,1
strong,3
bible,1
ahead,1
inspired,1
prior,1
social,1
action,2
family,4
father,2
ask,2
charge,1
taken,1
restraints,1
markets,1
more,13
israel,1
initiated,1
company,2
flag,1
factories,1
keeping,1
learn,2
history,5
beautiful,1
plan?,1
share,3
states,12
firmly,1
pompe,1
court,2
stir,1
notre,1
goals:,1
blood,1
susan,4
coal,1
media,1
dream,1
playing,1
imploding,1
help,7
soon,1
trade,5
through,3
its,11
20,2
mistreated,1
solving,1
late,1
hurting,1
evening,1
return,1
seeking,1
food,2
sweeping,1
desperately,1
always,2
bless,2
found,1
harm,1
everyone,3
neil,1
generation,1
house,1
hard,1
reduce,2
expect,2
insurance,5
magnet,1
funding,1
america:,1
since,7
safety,1
issue,1
salute,1
enforcing,1
reason,1
members,6
imagine,1
put,2
beginning,2
heroic,1
disadvantaged,1
launch,1
terrible,1
americas,3
american,30
partnerships,1
uncontrolled,1
fourthly,1
radical,1
1876,1
sequester,1
wages,4
passes,1
story,1
jet,1
financed,2
regulation,2
non-essential,1
rates,1
witnessing,1
shifted,1
pipelines,2
dethroned,1
part,1
vision;,1
doctors,1
believe,7
$1,1
kind,2
double,1
youth,2
toward,1
pre-existing,1
strengthen,1
fights,1
fighting,1
built,1
merriweather,1
empowered,1
megans,4
majority,1
costs,3
build,1
experienced,1
electric,2
quote,1
measures,1
reach,1
chart,1
plan,3
nothing,1
approved,1
constitution,1
dealers,1
viciously,2
seize,1
clear,1
humanitarian,1
clean,1
institutions,1
joining,3
thomas,1
obligations,1
defended,1
find,5
securing,1
justice,7
ruin,1
failed,2
8,1
his,10
founding,1
express,1
courage,1
international,1
him,1
restart,1
alexander,1
enemy,1
motorcycles,2
common,2
denisha,3
set,1
intelligence,2
see,2
defense,3
are,34
threats,1
currently,2
conditions,2
corruption,1
thrive,1
available,1
9/11,1
creating,4
succeed,1
both,4
last,6
foreign,5
became,2
jenna:,1
forgotten,1
long-term,1
let,1
approve,2
baltimore,1
bell,1
simple,1
community,4
simply,1
creeds,1
throughout,2
mission,1
raise,2
create,6
strategy,1
convicted,1
threaten,1
meeting,1
dame,1
silenced,1
else,1
demand,1
look,4
bill,1
budget,2
governor,1
while,4
replaced,1
guide,1
century,1
motors,1
centennial,1
triple,1
ready,2
shaw,2
anymore,1
9,1
conflict,2
higher,1
eliminated;,1
used,1
negotiate,1
husbands,1
moment,2
walmart,1
medicaid,1
necessity,1
robust,1
recent,2
lower,2
task,2
"people""",1
spent,2
organization,1
competitive,1
plagued,1
praying,1
"""ryan",1
also,9
workers,7
pillars,1
parents,1
homeland,2
presidents,1
australia,1
victims,3
big,2
unlimited,1
displaced,1
softbank,1
question:,1
imposed,1
d,1
chorus,2
individuals,2
quarterback,1
ninety-four,1
senate,1
fathers,2
some,1
back,3
economic,1
sprint,1
delivered,2
pen,1
slash,1
be,27
swiftly,1
confidence,1
refused,1
abroad,1
faith,1
goods,2
entrepreneurs,1
deserves,1
womens,1
dwight,1
miracles,2
into,4
within,1
pentagon,1
renewal,2
spending,1
placing,1
long,5
thirdly,1
jewish,2
immigration,8
hopes,2
lower-skilled,1
line,1
fda,1
principles:,1
up,5
us,19
planet,1
called,1
ordered,2
cure,1
storied,1
graham,1
theyll,1
amounts,1
peace,3
fears,1
income,1
forge,1
f-35,1
ryans,1
kansas,1
problems,1
william,1
generated,1
missile,1
ago,1
land,2
fighter,1
vice,1
departments,1
2001,1
enrolled,1
far,3
failures,1
requires,1
once,2
issued,1
gang,2
go,1
centers,1
uphold,1
young,3
typewriter,1
stable,1
resources,3
harley-davidson,1
miners,1
cemeteries,1
yourselves,1
entire,1
compassionate,1
michael,1
ryan,2
trudeau,1
agency;,1
enforce,2
pleas,1
sovereign,1
edison,1
power,1
directive,1
chicago,2
reaching,1
networks,1
access,5
capital,2
can,10
degree,1
poverty,3
healing,1
others,2
safer,1
great,13
survivor,1
broken,2
leaving,2
products,2
implement,1
honor,2
deputy,1
win,1
private,3
names,1
tools,1
use,2
usa,1
remains,1
illegal,2
next,1
vehicle,1
themselves,1
dreams,5
started,2
cooperate,1
women,5
sanctions,1
this,29
challenge,1
pour,1
anywhere,2
fulfill,1
wedge,1
tap,1
unveiled,1
process,2
tax,6
high,5
weve,8
united,15
daring,1
six,2
instead,1
struggled,1
stock,1
attend,1
light,2
lines,1
chief,1
honestly,1
allow,4
healthcare,3
unbreakable,1
produces,1
move,1
own,4
including,3
industries,1
bridges,2
chosen,1
labor,1
willing,1
choose,1
2015,1
criminal,2
dad,1
prosper,1
greater,4
hands,1
front,1
republican,2
day,3
worlds,1
remington,1
airports,1
warned,1
truth,1
beneath,1
etched,1
doing,2
globe,1
parties,2
society,1
burdened,1
our,109
special,2
out,8
respects,1
matt,1
defend,3
chaos,1
announced,1
jessica,2
frank,1
bleed,1
allies,6
fascism,1
could,3
keep,6
cures,1
davis,3
strategic,1
straining,1
has,13
nomination,1
system,8
their,18
interests,3
enforcement,3
academy,1
megan,3
remember,1
steel,1
loved,3
patients,1
providing,1
devotion,1
partnership,1
tonight,13
have,44
need,6
border,2
4000,1
able,4
concerns,1
which,1
funds,1
gunned,1
latino,1
savages,1
who,18
business?,1
why,2
disease,3
face,1
artificially,1
fact,2
son,1
bring,4
well-being,1
democrats,3
fear,1
trivial,1
partners,2
unanimously,1
based,2
sheriff,1
should,12
entities,1
inherited,2
thousands,3
achieve,3
bonds,1
crumbling,2
mainly,1
ones,5
words,1
werent,1
procedures,1
marvels,1
gorsuch,1
hiring,1
taxes,1
calling,3
extremists,1
she,6
taxed,2
fixed,1
widow,1
national,8
immigrant,3
officials,2
destiny,1
reform,2
state,5
tens,3
progress,1
ability,1
deliver,2
job,3
approval,1
precious,1
taking,1
drug,4
safely,1
glorious,1
illnesses,1
wall,1
done?,1
marketplace,1
respect,3
withdrawn,1
pouring,1
define,1
finished,1
improved,1
present,1
2016,1
align,1
harder,1
value,1
will,55
deregulation,1
almost,2
[will],1
helped,1
lifetime,1
education,2
began,1
administration,5
cross,1
unite,1
jenna,3
member,1
unity,1
speaker,1
largest,2
party,1
terrorism,3
merit-based,2
upon,2
17-year-old,1
expand,2
destruction,1
off,2
center,2
i,36
weapon,1
well,1
antonin,1
undertaken,1
meet,1
restore,2
less,1
executive,1
aspirations,1
mistakes,2
distant,1
trans-pacific,1
dakota,1
protecting,1
skill,1
nato,2
unprecedented,1
ought,1
increased,1
government,8
masters,1
increases,1
historic,3
five,1
know,5
belgium,1
immediately,1
lincoln,2
like,5
lost,2
loses,1
taxpayers,3
become,4
wonders,1
accessible,1
because,4
116,1
proper,1
home,7
lead,2
keystone,1
footprints,1
schedule,1
pressure,1
murdered,1
sheriffs,1
lockheed,1
counties,1
gained,1
about,1
rare,3
justin,1
getting,1
freedom,3
surge,1
alliance,2
unsustainable,1
billions,4
promise,1
artists,1
roads,1
inner,2
buy,2
insurer,1
children?,1
but,24
construction,2
goals,1
highest,1
he,6
made,6
places,2
whether,2
record,2
problem,1
supreme,1
shooting,1
girl,1
incredible,4
percent,2
43,2
other,8
branch,1
reckless,1
conclusion,1
class,3
dismantle,1
non-military,1
chance,1
repeal,1
friends,6
christians,1
inspiration,1
appoint,1
rule,3
compete,1
8th,1
